,y_test,prediction
4931,1426.1436,2666.133808187214
4148,1201.769,2521.810368209686
7423,1836.2764,2226.852842890508
4836,2410.8618,2270.708569734517
944,1549.9824,3102.6029302472484
154,3169.208,3614.0434282686215
7230,2036.6822,2957.9805690329154
3472,824.9262,1964.6792395915627
2294,378.1744,1407.426624580295
2588,1573.9512,1785.7211466566898
2087,2474.7786,1904.8085473887706
7318,101.8674,267.88358630888877
6126,894.8352,1610.1883269072684
4164,1491.392,2385.8738036583873
6572,1390.1904,2000.7791597929324
693,1707.777,1437.8786904714764
1270,1853.5872,2463.651691681946
5893,2404.8696,2780.6289977252013
1624,5528.1374,3814.7134080461096
5223,12117.56,5359.420379323599
2972,4767.128,3570.3342957259897
6814,185.7582,1856.6813147608054
1555,187.0898,1188.4301577633673
8275,772.328,1549.2307768987112
3760,1324.2762,2114.7240819366457
3161,2036.6822,1606.8407130529067
5225,6574.775,5552.145599948746
1570,5285.1204,4090.1738007266817
4285,773.6596,855.5346811494866
1835,6615.3888,3856.6428131576313
4266,1022.6688,1455.5102358018567
2740,2797.6916,4066.9312530426528
4312,3099.9648,2681.178648334324
2379,1720.4272,3341.3954017407627
821,3338.3212,2331.848597835977
5862,1061.951,1473.0315940608157
5108,4567.388,4038.6436996466678
7149,6474.2392,5379.576181484206
2060,1145.176,1870.8835659776382
1571,2804.3496,1749.960032407437
3879,945.436,1265.747057848153
1889,1255.033,2289.2708879093675
528,5206.556,3673.1217153998723
7060,5842.395,3813.580700467094
5845,3379.6008,2969.2991037792826
5860,477.3786,724.5256323605217
4861,113.8518,-177.11125945288063
1824,992.042,1276.8119916029
1098,5259.82,4144.027944871157
5530,1704.448,1529.2566594676705
1921,117.8466,67.9679826801596
8517,3608.636,2857.4610399254425
4908,729.051,598.2257229410131
2006,2422.1804,2374.2585815433335
98,4363.6532,3790.0860855935293
7140,753.0198,735.8905636492127
1003,713.0718,508.842385523609
3162,683.1108,649.0304702345525
4376,195.7452,-221.77612471100588
3930,3159.8868,3571.2454020178643
5973,1348.245,1459.4595031015112
4276,1803.6522,1287.782772081348
6789,5932.278,2564.232783288732
8116,71.9064,-995.3621111012543
2030,2270.378,1672.2664038875591
3484,303.6048,557.5759082913296
233,2603.278,2405.0461446399454
4511,5773.1518,3184.9621473795905
852,2691.8294,3283.5616134694938
1364,476.047,491.36073004966556
257,193.082,1660.7643226433659
5809,2460.7968,1650.1708671148076
3810,121.8414,84.4407131597543
379,4274.436,3402.8288130128376
7273,412.796,-149.19211521497573
6787,4625.9784,4087.1997941305954
2645,3006.087,2220.311284797671
1589,4950.8888,3577.356789731901
5198,529.311,2407.3653790671974
3909,2184.4898,2104.603088632447
8236,510.0028,2151.1527293841777
888,2620.5888,2522.0511279139077
5175,981.3892,732.9126845660572
1580,319.584,592.0241517606507
4109,2297.01,2485.735048676053
4238,1018.674,611.2321005300589
140,1402.1748,2411.866410685468
6770,3942.8676,3043.7074302877686
4098,1182.4608,3159.529467985707
4394,937.4464,3617.9912824076714
543,1398.18,2182.441010776679
3412,1168.479,915.5562975431069
3043,1569.9564,1423.6319889824658
6696,6474.2392,5392.883096100139
6565,296.9468,572.434358207277
2563,2127.8968,3399.315996114284
4824,5683.2688,4045.543068928649
6335,2616.594,2989.9615002893333
6164,4866.998,2280.354534987529
6095,316.9208,569.0735344740333
4972,355.5372,1500.0592452629403
3535,2994.7684,3351.0766001074685
7490,607.2096,564.9963750430162
49,780.3176,1287.1014835526216
7475,1685.8056,2386.819521235468
380,5375.0034,5191.094419618927
7192,1267.0174,1807.6949180910494
4773,3131.9232,3068.203678159167
4088,1629.8784,1337.5381078834314
2849,6196.6006,3882.8404275896132
6750,3094.6384,3486.7087176902455
2488,3142.576,3150.9091187760846
3812,2972.1312,2596.1880024210213
916,895.501,995.6032391724061
2539,5259.82,3279.676855771139
541,231.6984,1213.8877564282232
7275,2922.1962,2015.7845643814892
6192,922.7988,2496.305663081751
