,Item_Identifier,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,1103,1,0.007564836,13,107.8622,9,0,1,1880.90963234624
1,1067,4,0.038427677,4,87.3198,2,1,1,1171.7120046602454
2,1406,1,0.099574908,11,241.7538,0,2,0,2314.8797382857565
3,809,1,0.015388393,13,155.034,2,1,1,2152.268155302078
4,1184,2,0.118599314,4,234.23,5,2,3,5062.096334264257
5,461,2,0.063817206,6,117.1492,8,0,1,1927.7466412485246
6,604,2,0.082601537,0,50.1034,3,2,2,1299.663139414869
7,266,1,0.015782495,0,81.0592,5,2,3,2831.3990112102074
8,668,2,0.123365446,13,95.7436,7,1,1,1355.5566619645333
9,170,1,0.005698435,0,186.8924,2,1,1,2688.4557289124796
10,943,1,0.103569075,6,118.3466,2,1,1,1440.0209935044659
11,807,1,0.10581147,6,85.3908,7,1,1,1196.2926843397727
12,1279,1,0.171079215,8,240.4196,4,0,0,2542.9087964279556
13,966,1,0.092737611,1,122.3098,9,0,1,1979.3326216807773
14,119,0,0.021206464,7,52.0298,1,2,1,392.21405575874996
15,626,2,0.0794507,0,151.6366,9,0,1,2498.278683608431
16,500,1,0.05413521,12,198.7768,7,1,1,3044.6000596698623
17,9,1,0.037980963,14,192.2188,3,2,2,3542.042531723342
18,1386,1,0.028184344,9,109.6912,5,2,3,3231.750885491513
19,178,1,0.196897637,13,193.7136,0,2,0,1415.3600498119386
20,165,1,0.109920138,6,175.008,1,2,1,2193.1628316360734
21,1346,1,0.182619235,11,239.9196,6,1,1,3406.0638530746655
22,420,0,0.065630844,5,47.7402,8,0,1,776.3427536492272
23,1367,1,0.027447057,11,142.347,4,0,0,1252.6813765002653
24,867,1,0.035178935,13,180.7318,6,1,1,2735.6163034174624
25,1121,2,0.038455125,13,209.4928,0,2,0,1950.961837406187
26,1304,1,0.035102094,9,47.6034,6,1,1,662.8967437394872
27,1291,1,0.091485232,9,161.3894,8,0,1,2521.675184663804
28,13,1,0.058102469,4,244.6802,8,0,1,3895.987030215627
29,327,0,0.022940349,6,116.5492,6,1,1,1737.383625481545
30,1459,1,0.06737681,9,32.09,4,0,0,-529.6328005505015
31,1146,2,0.022148582,10,194.9452,3,2,2,3637.3804265206645
32,1452,1,0.006792707,9,42.4112,3,2,2,1251.2788386521925
33,981,2,0.024870035,6,217.7508,5,2,3,4963.009304352207
34,1005,1,0.096931426,1,164.2552,2,1,1,2171.4759072388606
35,814,2,0.008693632,10,205.098,5,2,3,4790.172967346371
36,899,1,0.078961284,3,80.3644,5,2,3,2703.0932576161545
37,307,1,0.050479463,0,114.0176,0,2,0,435.51767378537124
38,1303,1,0.089485918,9,192.1504,2,1,1,2604.724089205647
39,1288,1,0.01594238,9,103.3964,5,2,3,3155.49012639776
40,1289,1,0.029127115,9,143.3786,3,2,2,2787.6321181839085
41,1168,0,0.069236421,6,116.6466,0,2,0,392.4468438061815
42,1532,1,0.178699961,9,173.9422,2,1,1,2168.5327962847323
43,1367,1,0.015740089,11,144.847,3,2,2,2829.5661376996804
44,740,1,0.059565107,1,217.2166,0,2,0,2020.5693797889376
45,250,1,0.126277921,3,112.1886,1,2,1,1190.3775401212315
46,823,1,0.291322397,4,55.8298,0,2,0,-886.4686772786366
47,1470,1,0.053433908,8,183.2608,6,1,1,2743.4262213834213
48,380,1,0.131155007,5,248.146,6,1,1,3639.6470911405713
49,984,1,0.075194929,13,124.9046,8,0,1,1979.6472991163942
50,65,1,0.075557965,7,57.0614,8,0,1,941.2038665623713
51,613,1,0.122928415,10,106.6938,1,2,1,1097.3717559747233
52,884,2,0.044442342,6,181.0318,2,1,1,2550.809472860787
53,514,2,0.100741569,6,122.3388,2,1,1,1546.7454018604967
54,1042,2,0.039651481,6,188.7188,5,2,3,4485.432908147568
55,392,1,0.011278673,3,188.8188,9,0,1,3156.0649612191755
56,149,2,0.0,13,179.666,1,2,1,2476.6223057366283
57,912,0,0.106952661,5,38.3822,1,2,1,28.681741015044054
58,610,2,0.129825457,13,263.2568,4,0,0,3004.207067219764
59,349,2,0.029947409,4,90.1514,7,1,1,1440.6272049821773
60,1066,2,0.035565457,0,144.8444,6,1,1,2224.9185143147224
61,606,2,0.047760002,4,214.9876,2,1,1,3079.698135472223
62,1530,1,0.015089147,9,141.347,5,2,3,3744.9123439246623
63,816,1,0.07818366,6,96.8094,2,1,1,1148.8911455077987
64,672,1,0.086632125,5,152.6998,7,1,1,2279.333467111247
65,213,2,0.064306056,15,90.3804,5,2,3,2911.4746629219335
66,159,3,0.08493006,15,165.8158,2,1,1,2277.8695125264967
67,1363,1,0.072066634,9,262.5594,8,0,1,4128.594457329993
68,487,1,0.041256807,15,181.2634,1,2,1,2390.8821878421736
69,1511,1,0.058587558,9,221.6456,7,1,1,3384.9414261652346
70,1515,1,0.015711434,9,180.0976,9,0,1,2991.9888948293265
71,257,1,0.032714163,0,108.1938,5,2,3,3225.5003738687665
72,1213,2,0.047782552,4,122.3756,3,2,2,2471.176117489548
73,61,1,0.067560171,14,245.2486,9,0,1,3930.1209528035724
74,1311,1,0.029505077,9,256.2646,7,1,1,3975.193760678125
75,14,2,0.045076104,14,173.7054,7,1,1,2707.473155438683
76,1023,1,0.299544153,13,124.8704,4,0,0,524.689913709266
77,228,1,0.139452413,5,148.6392,8,0,1,2260.142119826163
78,139,1,0.246178257,7,252.4382,4,0,0,2618.535685882849
79,153,0,0.065128984,4,145.176,1,2,1,1771.932965749667
80,11,1,0.024816585,14,152.6998,6,1,1,2325.497419307727
81,1072,2,0.005988175,13,100.6358,3,2,2,2193.350536102006
82,1323,1,0.034473804,8,97.3726,8,0,1,1621.718046009732
83,1004,2,0.028987582,13,188.6898,1,2,1,2558.2438446346328
84,1175,1,0.032078604,4,177.6344,2,1,1,2483.0317970287692
85,1052,2,0.013593151,6,108.9596,6,1,1,1695.8016896748804
86,956,0,0.015911432,1,230.5668,8,0,1,3705.0442989310413
87,205,2,0.005588601,15,225.5062,8,0,1,3704.403630103632
88,851,1,0.139510771,3,46.2376,7,1,1,533.299184509465
89,190,2,0.262504325,4,242.2538,0,2,0,2106.6684595002434
90,671,2,0.0,10,165.7816,7,1,1,2657.12298626316
91,1107,1,0.056783774,4,223.1404,5,2,3,4959.551484104973
92,779,1,0.041536279,5,107.7912,5,2,3,3191.9371218661636
93,985,1,0.079538056,1,99.47,3,2,2,2032.9051126722297
94,1478,1,0.064057374,8,122.1414,1,2,1,1429.110213012072
95,1223,1,0.017156262,4,48.135,8,0,1,890.453890490307
96,682,1,0.054540968,13,140.4154,2,1,1,1860.3498461479276
97,146,2,0.045648973,4,145.6102,3,2,2,2849.153293036955
98,1230,2,0.065917194,0,185.724,7,1,1,2862.7080318063167
